date,ISM Manufacturing,ISM Nonmanufacturing SA,ISM Manufacturing Production,ISM Manufacturing New Orders,ISM Manufacturing Employment,ISM Manufacturing Prices,ISM Manufacturing Exports Orders,ISM Manufacturing Inventory level,ISM Nonmanufacturing Production,ISM Nonmanufacturing New Orders,ISM Nonmanufacturing Employment,ISM Nonmanufacturing Prices
10/1/1999,57.2,57.6,59.7,61.3,53,68.8,54.9,48,60.7,62,51.7,58.9
11/1/1999,58.1,54.9,60.2,63.1,53.1,68.1,55.8,49.7,57,55.5,50.6,61
12/1/1999,57.8,56.9,60.6,60.3,55.7,67.4,55,49,60.4,61.1,53,60.5
1/1/2000,56.7,56.6,57.8,60.4,52.8,72.4,53.4,52.8,57.7,60.8,52.3,61.4
2/1/2000,55.8,56.2,59.1,58.7,53.6,71.6,54.2,44.9,58.2,58.9,52.8,66.5
3/1/2000,54.9,57.4,59.5,56.2,51.2,78.7,54.8,47.5,60.5,61.7,55,68.6
4/1/2000,54.7,58,58.1,55.4,53.2,71.2,51.5,46.1,61.1,61.5,54.4,65
5/1/2000,53.2,57.7,56.4,51.5,53,65.7,56.4,46.9,59.8,60.5,53.5,64.2
6/1/2000,51.4,56.9,53.4,50,50.7,62.9,52.8,47,60.3,59.4,54.4,65
7/1/2000,52.5,55.3,53.7,52,52.5,63.4,51.7,48.5,56.5,59.7,50.5,62.1
8/1/2000,49.9,57.6,49.7,50,48.8,58.1,50.8,47.1,61.3,59.8,54.2,59.2
9/1/2000,49.7,56.7,51.5,48.9,50.6,58.4,50.7,45.9,59.8,60.4,53.5,62.1
10/1/2000,48.7,56.7,49.3,48.4,48.2,57.7,48.7,45.9,58.6,59.2,54.5,63.7
11/1/2000,48.5,56.2,50.1,49.1,47.1,58.1,48.6,42.8,59.7,56.4,54.6,60.9
12/1/2000,43.9,54,42.9,42.1,42.7,59.8,49.5,40.4,57.5,54.9,52.4,63.5
1/1/2001,42.3,51.6,39.2,38.4,42.3,64.6,46.7,41.8,52.5,50.8,51.7,61.8
2/1/2001,42.1,51.3,38.6,39.9,37.8,55.6,46.8,44.2,51.5,51.4,50.7,58.1
3/1/2001,43.1,50.7,42.6,41.5,39.9,49.9,50.3,43.7,50,52.6,49.6,55.8
4/1/2001,42.7,48.3,43.1,45.5,38.2,48,47.5,39.7,48.3,47.2,46.5,53.8
5/1/2001,41.3,49,43.1,44.9,35.1,45.1,45.3,38.2,47.9,49.3,46.7,58.5
6/1/2001,43.2,50.1,45.3,47.8,35.7,42.8,45.2,39.9,51.6,52.2,45.6,54.5
7/1/2001,43.5,48.1,47,49.2,37.2,39.9,48.4,37.1,48.1,47.5,46.4,49.9
8/1/2001,46.3,46.9,51.8,54.3,41.3,35,52,37.6,47.4,46.5,45.7,48.9
9/1/2001,46.2,49.5,51.8,51.3,41.5,36.6,46.9,38.9,49.7,50.8,46.4,50.2
10/1/2001,40.8,44.8,41.8,38.9,35.6,33.3,44.3,38.3,40.5,41.3,43.9,43.4
11/1/2001,44.1,48.2,46.9,49.1,36.4,32,50,38.9,49.4,46.4,44.5,41.3
12/1/2001,45.3,49.7,49.2,51.4,39.1,33.2,47.6,37.6,50.7,49.9,44.6,42.3
1/1/2002,47.5,48.9,51.1,55.2,41,43.9,50.1,39.2,49.8,48.3,44.3,48.8
2/1/2002,50.7,52.7,58.1,60.7,43.8,41.5,50.7,39.7,57.5,56.3,43.9,47.6
3/1/2002,52.4,52.8,58.3,63.8,46.6,51.9,50.6,41.4,57.1,56.4,45.8,49.2
4/1/2002,52.4,53.5,59.1,59.9,46.6,60.3,51.9,43,56.3,58.4,47.8,53.7
5/1/2002,53.1,54.8,59.4,61.8,47.3,63,53.3,43.8,60.5,57.3,49.2,55.2
6/1/2002,53.6,52.5,61.1,61.2,48.3,65.5,54.1,43.2,56.1,56.4,44,53.1
7/1/2002,50.2,50.4,56.6,51.9,45,68.3,52.2,42.7,52.1,50.7,46.1,60.5
8/1/2002,50.3,50.9,54.9,50.6,46.8,61.5,53.4,45.4,51.9,51.6,47.2,55.1
9/1/2002,50.5,52.3,53.5,52.9,45.8,62.5,53.8,43.8,54.9,54.8,47.1,53.4
10/1/2002,49,51.4,51.3,52.1,46.4,58.3,53,42,53.1,52.3,46.6,56.1
11/1/2002,48.5,52.9,52.7,49.9,44.8,55.7,50,43.1,56.8,56.4,46,57.6
12/1/2002,51.6,52.3,53.9,58.7,47.5,56.9,52,45.2,55.5,54.2,47,56.5
1/1/2003,51.3,53.3,54.1,58.2,47.4,57.5,54.4,44.2,56.2,54.4,50.5,58
2/1/2003,48.8,52.6,53.6,51.9,42.6,65.5,55.2,43,55.6,53.9,48.5,60.5
3/1/2003,46.3,49.1,47,47.2,42.2,70,51.3,42.3,46.3,49.9,48.1,59.4
4/1/2003,46.1,50.1,48.5,47.2,41.8,63.5,50.8,43.1,50.7,50.4,48.7,55.7
5/1/2003,49,52.8,52.9,53.4,42.4,51.5,51.7,45.7,54.6,55.9,48.5,50
6/1/2003,49,54.3,54.1,53.6,45.6,56.5,54.6,42,59.2,57.1,49.3,52.3
7/1/2003,51,57.3,53.9,56.8,46.3,53,54.4,46.3,62.7,62.3,50.5,51.4
8/1/2003,53.2,59.1,61.8,61.1,47.1,53,56.4,43.1,65.1,66.9,51.7,56.1
9/1/2003,52.4,57.6,57.8,60.8,46.5,56,54.5,43.4,63.8,61.4,50.1,59.5
10/1/2003,55.2,58.7,62.8,64.4,48.6,58.5,59.5,45.6,64.4,64.2,53,57.2
11/1/2003,58.4,57.5,66.6,69.1,50.4,64,57.1,49.7,61.1,61.3,54.4,58.5
12/1/2003,60.1,56.8,70,71.3,54.1,66,59.3,45.9,60,61.2,54,61.1
1/1/2004,60.8,61.2,69.3,70.6,54.7,75.5,57.2,47.9,67.7,65.4,55.1,62.2
2/1/2004,59.9,58,65.6,66.5,55.7,81.5,55.1,49,62.5,61.2,52.9,59.5
3/1/2004,60.6,58.3,66.8,64.6,57,86,60.2,48,62.3,62.1,53.8,65
4/1/2004,60.6,59.6,66.6,67.1,57.2,88,59.9,45.2,64,61.6,54.7,68.6
5/1/2004,61.4,58.5,65.3,64.5,60.1,86,60,48.8,62.6,60.7,54.5,71
6/1/2004,60.5,58.6,63.7,60.9,59.4,81,57.3,51.3,59.2,62.1,55.6,74.2
7/1/2004,59.9,58.5,63.8,62.8,57.4,77,56.7,50.8,63.2,63.2,49.7,71.9
8/1/2004,58.5,57.3,59.3,62.1,56.4,81.5,55.8,52.1,59.7,59,53.5,70.9
9/1/2004,57.4,57.9,59.8,57.7,58,76,53.5,51.6,60,60.6,55.3,67
10/1/2004,56.3,58.8,59.3,58.4,55.5,78.5,56.7,49.3,61,61.7,56.5,72.8
11/1/2004,56.2,58.4,57.3,60.1,56.9,74,54.5,49.7,62.8,61.1,54.8,70.6
12/1/2004,57.2,59.6,57.9,66.3,53.8,72,59.1,52.8,65,63.2,54.7,71.3
1/1/2005,56.8,58,59.3,57.9,58.6,69,56.5,53.5,62.5,62.4,54.6,69.1
2/1/2005,55.5,59.4,58.2,55.9,56,65.5,56.5,51,61.9,63.3,59.7,69.7
3/1/2005,55.2,58,57.5,57.7,52.5,73,55.1,55,61.3,60.5,57.2,65.6
4/1/2005,52.2,55.6,54.2,53.4,53,71,57,48.5,58.6,57.5,53.3,62.4
5/1/2005,50.8,55.3,54.7,51.8,49.3,58,55.3,48.5,57.5,58.2,51.8,57.6
6/1/2005,52.4,58.1,55.1,55.7,51.1,50.5,51.2,48,60.7,59.2,55.8,58.4
7/1/2005,52.8,59.5,57.4,57.2,53.2,48.5,55.8,45.5,61.3,64.4,55.1,65.8
8/1/2005,52.4,61.3,55.6,57.8,51.8,62.5,54.5,47,64.8,65.3,60.2,66.1
9/1/2005,56.8,55.7,62.4,60.9,53.4,78,57.3,49.5,55.2,56.2,55.4,83.5
10/1/2005,57.2,57.4,62.1,61.4,54.3,84,55.2,46.5,59.2,57.5,54.2,79.2
11/1/2005,56.7,59.1,62.4,61.2,56,74,57.9,47,59.2,59.6,56.9,72.6
12/1/2005,55.1,59,60.3,60.1,53.7,63,54.3,46.5,60.1,62.8,56.4,68.9
1/1/2006,55,56.3,59.7,58.9,53.1,65,58.5,47.5,58.6,57.4,54.5,69.9
2/1/2006,55.8,57.6,57.9,61,53.5,62.5,57,52,61.8,57.8,58.1,67.8
3/1/2006,54.3,56.9,57,57,53.8,66.5,57.3,50,60,58.6,55.1,60.1
4/1/2006,55.2,58.4,57.1,55.7,54.2,71.5,53.4,51.5,61.3,61.1,56.5,68.5
5/1/2006,53.7,57,56,54.9,53.2,77,55.7,48.5,58.1,58.6,54.6,70.5
6/1/2006,52,55.2,53.4,55,49.9,76.5,55.4,47.5,56.4,57,51.2,69
7/1/2006,53,55.6,56.9,55.8,50.7,78.5,51.9,48,56.3,58.1,53.6,70.6
8/1/2006,53.7,53.9,55.2,55.3,52.6,73,55.7,51,56.7,53.1,52.2,72.2
9/1/2006,52.2,54.5,56.2,54.8,49.9,61,55.3,47,54.4,56.5,52.9,60.6
10/1/2006,51.4,54.9,54.3,54.1,49.6,47,57.8,47.5,56.9,55.3,52.9,56.5
11/1/2006,50.3,54.5,50.7,50.8,49.2,53.5,56.9,47.5,59.2,56.7,52.2,56.7
12/1/2006,51.4,53.7,52.7,51.4,49.8,47.5,54.3,47.5,56.1,54.8,52.7,60.5
1/1/2007,50.4,55.4,49,55.5,52.1,53.6,53.4,40.5,57.6,55.8,54.5,57.5
2/1/2007,54.1,54.2,54.1,59.1,54.7,62.5,53.4,49.4,56.1,56.1,52.2,57
3/1/2007,52.8,52.1,54.3,56,52.8,65.5,56.7,48.8,53.1,53.7,51.7,64.2
4/1/2007,52.7,53.4,55.9,57.1,52.7,73,56.7,46.5,56.1,54.5,51.9,63.2
5/1/2007,53.1,54.3,59,57,51.1,72.6,60.2,47.6,58.3,56.9,52.5,62.8
6/1/2007,54,54.9,59.3,58.4,55.7,67.1,54.4,47.5,59.2,56.8,53.2,61.6
7/1/2007,51.8,53.6,54.3,57.5,50.4,67.4,58.1,46.8,57,54.4,51.3,59.7
8/1/2007,52.2,52.7,55.2,56.1,50.7,62.9,56.1,48.1,55.8,56.3,48.3,60
9/1/2007,53.8,52.6,60.8,59.4,53.9,60.4,55.6,44.7,54.8,52.8,52.2,66.7
10/1/2007,52.8,53.6,52.3,55.8,53.5,63.9,58.9,50.6,55.2,55.6,53.4,66.2
11/1/2007,51.5,52.8,52.3,53.1,53.2,72,59.6,46.3,56,51.9,51.8,75.3
12/1/2007,50.1,52.5,52,49.9,51.1,65.7,53.9,44.1,53.2,52.5,51.6,72
1/1/2008,50.9,44.8,50.7,49.5,49.6,76.2,56.9,51.3,41.4,43.5,45.2,71.6
2/1/2008,48.8,49.9,49.4,50.5,47.3,75.7,57.1,45.9,52.1,50.5,46.9,71.7
3/1/2008,49.7,49.4,48.9,49.2,52.2,83.1,57.2,45.8,52,49.4,47,72.7
4/1/2008,48.5,51.9,49,46.2,45.4,83.9,58.4,48.3,51,49.9,50.7,71.9
5/1/2008,48.9,51.5,50.6,47.9,45,88.1,60.6,47,53.6,53.9,47.6,75.2
6/1/2008,49.9,48.1,50,49.5,45,91.4,60.2,49.2,49.6,49,43.4,79.6
7/1/2008,50.8,50.1,52.8,48.4,54.7,90.4,55.4,43.3,51,49.4,46.4,77.4
8/1/2008,50.1,50.6,52.7,48.6,50.2,76.5,56.8,48.7,51.2,50.5,45.2,72.4
9/1/2008,47.2,49.4,49,45.1,45.4,55.1,53.6,44.4,50.6,49.5,44.1,71.9
10/1/2008,38.2,44.7,34.8,32,33,39.8,40.7,42.7,43.9,44.2,42.8,53.9
11/1/2008,39,37.8,35.2,34.5,36.8,28.4,40.4,39,34.4,35.4,32,37.4
12/1/2008,34.5,40,28.1,25.9,32.5,17.1,34.7,38.9,38.5,38.7,34.6,36.1
1/1/2009,36.4,43,32.3,32.5,30.5,29,38.5,39.8,43.9,40.6,35.8,41.7
2/1/2009,36.6,41.6,38.4,32.7,28,29.9,38.8,37.7,40.9,40.6,36.9,48.6
3/1/2009,37.2,40.1,36.5,41.3,30.5,31.6,39.4,34.4,43.2,37.2,31.8,40
4/1/2009,39.9,43.7,36.7,46,33.5,31.4,42.9,36.1,45.2,46.8,37.2,39.9
5/1/2009,44.1,44.4,48.3,51,35.3,45,46.4,34.5,43.3,45.9,38.4,47.1
6/1/2009,46.3,46.4,54.6,49,45,47.9,49.1,33.5,48.8,49.4,41.5,52.9
7/1/2009,49.7,47.1,58.8,56.6,47.1,52.8,48.3,34.2,47.2,49.8,41.2,41.5
8/1/2009,53.4,48.9,62.2,64.1,47.5,62.3,55.1,38.6,52,51.5,43.1,60.8
9/1/2009,54.9,50.1,62.1,64.7,48.6,63.3,55.6,41.6,53.5,52.7,44.3,49.6
10/1/2009,57.6,51,64.4,57.7,53.5,64.3,57.2,51.7,54.9,55.7,42.7,53.5
11/1/2009,55.4,49.5,63.4,64.2,51.2,55.4,53.9,41,51.6,54.6,43.4,58.9
12/1/2009,55.8,49.7,60.1,63.8,52.6,63.8,54.1,43.8,52.5,51.5,44.4,58.9
1/1/2010,56.3,50,62.8,59.9,55.2,68,57,46.3,51.6,52.9,44.8,59.4
2/1/2010,55.5,51.7,57,57.7,55.7,65.1,56.3,50.2,53.3,53.4,46.7,58.7
3/1/2010,58.8,53.3,57.3,60.1,55.8,75.2,59.8,56.8,57.8,58.1,47.8,60.9
4/1/2010,58.1,55.3,62.3,64,54.8,78,61.9,49.9,59.9,58,49.9,63.8
5/1/2010,57.4,55.5,62.1,61.3,57.9,77,58.5,47.8,61.3,57.9,49.9,60.8
6/1/2010,56.5,54.4,63,58.6,56.8,54.9,58.2,47.3,59.3,56.6,48.8,56.7
7/1/2010,56.1,54.6,56.1,54.7,58.6,55.6,53.8,49.8,57.3,58.2,50.9,56.1
8/1/2010,56.4,52.4,56.3,54,61.2,61.8,56,52.8,55.4,54.3,48.7,59.2
9/1/2010,55.3,53.3,57.3,51.9,58,69.8,54.2,56.4,52.9,54.2,51,59.5
10/1/2010,56.9,55.3,61.5,57.8,57.5,73.8,58.1,56.1,59.8,58.4,51.9,68.2
11/1/2010,57.3,56.4,55.7,58.3,60.2,69,55.7,53.4,59.1,58.4,55.6,65.6
12/1/2010,56.6,56.9,62.5,59.6,56.7,73.3,51.8,49.7,62.3,62.2,51.5,69.3
1/1/2011,59.1,57.6,65.3,64.5,61.6,79.6,62.1,49.8,61.6,63,52.1,70
2/1/2011,59.2,58,63.8,64.2,62.3,80.2,63,47.4,63.8,61.9,54.2,70.9
3/1/2011,58.4,55.8,61.9,61.3,60.5,82.3,56.4,48.3,58.6,59.6,53.3,70.9
4/1/2011,57.9,55.2,59,61.1,59.2,82.6,63.8,50.9,57,56.3,54.3,71
5/1/2011,54.8,55,54.8,54.6,58.1,77.9,56.4,49.9,54.9,56,55.1,70.3
6/1/2011,55.8,54.2,54.5,54.6,62.1,70.3,53.8,51.7,56.3,55.4,53.1,62.4
7/1/2011,52.9,53.5,54.6,56.9,53.2,59.1,54.4,46.9,56.3,53.7,53.4,60.7
8/1/2011,52.6,53.5,51.4,52.9,51.8,57.5,52.4,53.9,55.7,53.9,51.5,61.3
9/1/2011,53.7,52.3,54.7,51.8,56.6,57,55,53.5,56.2,54.6,48.8,60.9
10/1/2011,51.4,52.8,52.3,52,53,41.4,50.4,48.4,54,53.4,51.8,57.7
11/1/2011,51.8,52.9,56.6,54.9,51.3,48.1,51.6,45,55.8,53.4,52.5,63.4
12/1/2011,53,52.6,60.9,55.4,54.9,45.4,51.8,45,56,54.2,48.5,62.2
1/1/2012,54.2,57.3,58.1,60,52.9,53.5,54.7,49.7,61.2,62.8,54.2,63.8
2/1/2012,53.3,55.9,58.2,58.3,53.7,60.1,58,49.4,60.6,59.5,53.9,65.4
3/1/2012,53.5,55.6,56.2,57,55.6,62.3,53.6,48.8,59.3,58.2,55.5,63.7
4/1/2012,55.2,55.3,61.2,59.2,56.1,61,58.2,49.7,57,56.6,56.2,58.7
5/1/2012,53.2,55.1,55.1,58.2,54.8,47.2,52.5,47.2,56,56.3,55.1,54
6/1/2012,49.5,53.6,52.2,47.3,55.1,35.7,47.7,42.3,56,54.3,52.9,48.5
7/1/2012,49.6,52.1,50.2,47.8,51.3,39.4,47.9,49.3,54.8,52.9,51.1,52.8
8/1/2012,49,52.1,48.3,45.1,50.4,54.4,46.3,52.1,52.2,52.8,52,62.1
9/1/2012,50.8,53.8,48.8,52.2,52.4,60,49.5,49.6,57.8,53.7,52.1,65
10/1/2012,50.5,54.3,49.8,51.8,52.8,55.5,50.5,50.1,57.5,56.5,51.6,60.9
11/1/2012,48,53.9,49.2,47.9,47.3,52.1,49.4,48.1,57.4,56.3,52.8,58.3
12/1/2012,50.1,55.7,51.1,48.3,52.5,54,52.8,47.5,61.7,58.9,53.8,58.3
1/1/2013,53.3,55.9,55.1,54.9,53,56.9,49.1,50.4,57.3,58.5,55.3,60
2/1/2013,54.2,56.6,59,58.9,53.2,62.2,52.5,50.1,58.5,60,56.6,59.9
3/1/2013,51.9,55.9,54.3,52.3,53.3,53.7,55.6,48.8,59.3,57.8,53.6,55.6
4/1/2013,51,54.3,53.8,53,50.7,48.5,52.8,46.2,55.8,56.1,54.2,53.8
5/1/2013,50.8,54.8,52.9,52.1,50.3,49.9,50.7,48.7,57.2,56.7,53.2,53
6/1/2013,51.1,53.6,53.7,52,49.6,50.7,52.9,48.9,54.8,52.9,55.3,53.7
7/1/2013,53.8,55.2,60.2,56.4,52.1,48.4,54.3,47.6,59.1,54.6,54.4,55.3
8/1/2013,54,55.3,58.6,58,53.5,52.8,55.3,47.9,55.9,55.5,55.2,53.5
9/1/2013,54.6,53.6,57.8,60.2,52.8,57.4,51.9,49,55.1,57,52.3,56.4
10/1/2013,54.6,53.9,57.4,57.4,53.2,55,56.3,52.4,57.6,56.1,53,56.2
11/1/2013,55.5,53.1,58.9,59.5,54.4,51.7,58.4,53.9,53.3,54.4,53.5,53.2
12/1/2013,56.5,53.5,61.4,63.9,53,51.7,55.2,52.2,56.4,51.6,54.3,56.9
1/1/2014,52.5,55.2,55.7,54.6,53.3,60.3,55.3,43.9,57.8,54.1,56.5,60
2/1/2014,55,53.4,53.9,58.6,54.6,59.8,52.7,50.7,56.9,54.9,48.7,56.4
3/1/2014,55.9,54.9,58.3,58.8,54,59,55.1,52.6,57,56,54.5,58.1
4/1/2014,56.6,55.7,57.9,57.3,57.5,55.9,57.5,53.2,60.4,58.7,53.1,61
5/1/2014,55.7,56,59.4,57.9,55.1,58.7,57.3,53,60.1,58.8,55.2,58.5
6/1/2014,55,56.8,59.7,56.8,53.4,57,54.5,52.3,60.4,61.1,54.7,58.6
7/1/2014,55.1,56.9,58.7,57.4,55.1,60.1,52.3,49.8,59.4,60.4,56.2,58.1
8/1/2014,56.3,58,60.1,60.1,56.9,56.9,56.3,50.9,61.9,61.1,56.4,57.7
9/1/2014,55.7,57.3,62,58.9,54.1,58.7,53.5,51.1,61.6,59.5,55.9,55.1
10/1/2014,56.2,55.8,60.7,59.8,53.8,52.7,52,52.7,59.1,58.6,56.2,52
11/1/2014,56.3,58.2,60.2,61.6,53.7,44.4,54.5,52.2,62.1,61.1,55.2,54.5
12/1/2014,55.7,57.2,58.7,58.2,57.2,37.8,51.9,48.5,61.1,60.2,54.8,51.1
1/1/2015,53.9,56.2,55.9,54.3,55,35.1,50.3,50.2,59.9,59,52,47.3
2/1/2015,53,57.6,55,53.9,51.8,35.2,48.9,49.8,60.2,58,57.4,50.9
3/1/2015,52.1,58.4,55,52.6,51,40.1,47.3,50.2,61.2,60.6,57.8,53.6
4/1/2015,51.9,57.5,55.7,52.8,50.4,41.6,51,49.7,60.3,58.1,58,50.4
5/1/2015,52.9,56.7,54.6,53.3,52.9,49,50.1,51.6,60.8,58.9,57.2,53.7
6/1/2015,52.5,55.7,53.2,54.4,53.5,49.7,48.8,52.4,60.8,57.7,53,52.3
7/1/2015,52,60.1,53.9,52.9,51.9,45.1,48.2,50.6,65.3,62.8,59.4,52.5
8/1/2015,50.2,58.6,52.6,51.5,48.9,38.8,47.2,47.9,63.1,62.5,56.2,51.1
9/1/2015,50.1,56.1,51.5,50.4,49.8,37.6,45.7,48.7,59.9,56.6,55.5,48.4
10/1/2015,49.1,56.9,51.9,52.1,45.6,39.8,49.1,46.5,59.6,59.2,56.8,48.3
11/1/2015,49.1,56.1,50.2,50.1,51.2,35.7,46.9,45.7,58.4,59.3,53.6,48.8
12/1/2015,48.7,55.3,49.8,49,46.8,33.9,51.2,48.8,59.3,58.2,55.1,50.6
1/1/2016,47.6,53.8,49,49.9,44.5,33.9,46.7,44.4,54.8,56.9,52,47
2/1/2016,49.2,52.8,51.9,52.1,47.5,38.3,46.4,44.7,55.9,53.3,51.4,45.9
3/1/2016,51,55.4,54.8,54.7,47.1,52.1,51.8,46.9,60.5,58,52.3,50.6
4/1/2016,51.3,55.2,53.8,55.8,50.3,57.9,53.7,45.5,57.4,57.1,55.1,53.9
5/1/2016,51.4,54.1,53.9,55.1,49.1,61.4,52.2,44.9,56.6,56.8,50.7,55
6/1/2016,52.2,55.8,54.2,56.3,48.7,59.8,54.4,48,58,58.5,52.7,55.9
7/1/2016,52.7,56.2,54.6,55.9,49.5,54.9,52.8,50.7,61.5,60.5,51.7,52.6
8/1/2016,49.8,52.6,50.1,51.2,47.8,53.6,51.9,48.4,54.3,53.4,51,52
9/1/2016,51.1,55.4,53.3,53.4,49.1,53.1,52.1,49.3,58,58.4,54.2,52.8
10/1/2016,51.8,54.3,53.9,54.2,51.2,54.8,51.5,48.2,57.6,57.6,51.4,54.8
11/1/2016,53.2,56.4,55,55.5,51.6,53.5,51.8,50,60,58.6,55.2,54.6
12/1/2016,54.4,55.8,58.7,59,53.3,64.2,56.2,48.5,59.9,58.6,52.7,56.3
1/1/2017,55.7,57,60.8,59.8,55.2,67.9,55.2,49.3,61.7,60.3,53.7,57.2
2/1/2017,57.7,56.6,62.8,64.5,54.5,66.9,55,50.9,62.2,58.4,55.3,57.9
3/1/2017,56.5,56.2,58.1,61.7,57.8,68.8,59.4,48.5,60.7,60.1,52.4,54.4
4/1/2017,55.8,57.2,59.4,57.4,54.3,68.3,58.9,51.4,61.1,61.1,53.4,58.3
5/1/2017,56.4,57.4,59,61.5,54,59.5,57.8,52.4,61.1,59.7,57.3,49.6
6/1/2017,56.2,56.8,60.3,60.4,55.9,53,58.2,48.8,59.1,59.4,56.3,53.6
7/1/2017,56.5,55.4,60.3,60.9,55.6,61.7,57.2,49.6,58.7,57.3,54.4,56.3
8/1/2017,58.4,55.8,60.3,60.7,59.6,61.7,56.1,54.5,58,58.2,56.5,58
9/1/2017,60,58.1,60.2,64.8,58.5,71.5,56.2,52.2,59.2,60.7,54.4,64.7
10/1/2017,58.6,60.4,62,63.7,59.4,68.1,55.1,47.8,62.7,64.8,56.2,61.1
11/1/2017,57.6,57.1,63.1,63.2,58.4,64.8,56.3,48.2,60.1,59,55.1,59.2
12/1/2017,59.7,56.3,65.9,66.8,58.4,68.3,57.6,50.9,59.1,54.2,56.4,61.2
1/1/2018,59.4,60,64.3,66.5,54.8,72.7,59.8,52.4,60.9,63.4,60.3,61.7
2/1/2018,60.9,58.5,63.1,64.9,59.7,74.2,62.8,55.2,62.1,61.1,55.6,62.4
3/1/2018,58.8,58.2,60.6,61.6,55.9,78.1,58.7,54.6,59.6,58.1,56.5,61.5
4/1/2018,58.6,57.6,60.3,62.7,55.9,79.3,57.7,52.6,60.1,60.6,55.1,62.3
5/1/2018,59,58,61.9,62.7,57.4,79.5,55.6,50.4,59.1,60.2,54.1,63.9
6/1/2018,59.9,58.5,60.6,64.6,55.6,76.8,56.3,50.8,62.3,61.6,54.5,61.1
7/1/2018,58.1,57.5,59.3,58.9,56.2,73.2,55.3,53.6,59.7,60.7,56.7,63.4
8/1/2018,60.5,59.5,62,63.8,58.4,72.1,55.2,54.1,62.1,62.8,57.2,62.3
9/1/2018,59.3,60.4,62,61.1,58.6,66.9,56,52.9,63.6,60.9,60.1,62.8
10/1/2018,58.1,60.8,60.8,59.1,56.1,71.6,52.2,50.6,63.7,63.2,58.9,61.1
11/1/2018,58.6,60.1,59.5,60.9,57.5,60.7,52.2,54.2,64.1,62.1,57.8,62.9
12/1/2018,54.9,58.1,55.6,52.5,56.4,54.9,52.8,53.5,61.7,62.6,56.5,59.1
1/1/2019,55.7,56.5,57.9,57,55.3,49.6,51.8,53,58.3,58.7,57.4,59.1
2/1/2019,54.4,59.1,55.8,55.9,52.8,49.4,52.8,52,65.1,62.1,55.8,55.8
3/1/2019,54.9,56.5,56,56.6,56.3,54.3,51.7,51,58.4,59.6,55.8,58.2
4/1/2019,53.6,55.3,53.8,53.5,53.1,50,49.5,52.5,58.9,58.2,53.6,56.1
5/1/2019,52.6,56.1,52.3,52.5,54.5,53.2,51,51.2,59.7,58.1,57,55.8
6/1/2019,51.5,55.2,52.5,50.7,53.8,47.9,50.5,49.3,58,56.1,55.2,58.2
7/1/2019,51,54.4,50.5,50.5,50.9,45.1,48.1,49.8,54.6,55,56.5,56.5
8/1/2019,48.5,56,47.7,46.4,48.1,46,43.3,48.6,60,59.7,53.6,58
9/1/2019,48.1,53.2,48.3,47.5,46.6,49.7,41,46.6,56.7,54.9,50.1,59.5
10/1/2019,48.1,54.8,46.2,48.1,47.2,45.5,50.4,48.8,56,56,54.7,56.4
11/1/2019,48.1,53.6,48.1,47.8,46.5,46.7,47.9,46.6,52.2,55.6,55.1,57
12/1/2019,47.9,55.7,45.5,47.6,45.4,51.7,47.3,48.6,58.6,56.7,55.2,59.8
1/1/2020,51.4,56,55.6,52.9,46.6,53.3,53.3,48.9,61.2,56.8,54.1,56.1
2/1/2020,50.3,56.9,50.3,50.8,46.5,45.9,51.2,46.8,59.5,59.9,55.9,52.3
3/1/2020,49.1,52.8,47.8,42.3,43.1,37.4,46.6,47.3,47.8,54.7,46.7,50.7
4/1/2020,41.6,41.5,27.4,27,27.9,35.3,35.3,49.9,25.9,32.6,29.3,55.6
5/1/2020,43.5,45.2,34,32.3,33.1,40.8,39.5,50.2,40.9,41.1,31.8,55.5
6/1/2020,52.4,56.8,56.1,56.8,41.7,51.3,47.6,50.4,64.6,62.1,42.9,61.6
7/1/2020,53.9,57,61.8,60.3,43.9,53.2,50.4,47.4,64.4,65.7,42.8,57
8/1/2020,55.4,57.4,61.7,65.4,47.1,59.5,53.3,44.6,62.8,58.7,47.6,63.7
9/1/2020,55.4,57.7,60.8,59.8,49.9,62.8,54.3,47.4,63.7,61.6,50.5,59.3
10/1/2020,58.8,56.1,62.7,67.3,52.3,65.5,55.7,51.1,60.4,56.8,51.1,62.8
11/1/2020,57.3,56.5,61.2,65.1,48.1,65.4,57.8,50.4,58.6,58.4,51.9,64.3
12/1/2020,60.5,57.8,65,67.4,51.6,77.6,57.5,50.9,60.9,58.9,48.6,65.4
1/1/2021,59.4,58.5,62,63.5,52.3,82.1,54.9,50.9,60.2,61,55.2,64.7
2/1/2021,60.9,55.9,62.8,66.4,53.7,86,57.2,49.9,56.8,53.1,52.8,71.6
3/1/2021,63.7,62.2,66.4,66.9,57.7,85.6,54.5,50.9,66.7,65.8,55.2,73.5
4/1/2021,60.6,62.7,62.6,64.3,54.4,89.6,54.9,46.9,63.2,63.5,57.8,76
5/1/2021,61.6,63.2,60.4,66.3,51.4,88,55.4,51.1,64.5,63.3,54.7,79.1
6/1/2021,60.9,60.7,60.9,66.4,50.9,92.1,56.2,51.3,61.9,62.8,49.7,78.8
7/1/2021,59.9,64.1,59.6,65,53.2,85.7,55.7,49.1,66.3,64.1,54.1,81.4
